Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 347	QJA42931.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage SAM2]	489	Staphylococcus phage SAM2	6.35E-65	158	265	Genomic Viruses	3071007	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Menderavirus	Menderavirus Ps15
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 348	QIG56863.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage Sb1M_9832]	489	Staphylococcus phage Sb1M_9832	6.35E-65	158	265	Genomic Viruses	2650877	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Menderavirus	Menderavirus mendera
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 349	QIG56699.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage Sb1M_6168]	489	Staphylococcus phage Sb1M_6168	6.35E-65	158	265	Genomic Viruses	2859652	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Menderavirus	Stenotrophomonas phage Marzo
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 350	QIG56534.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage Sb1_8383]	489	Staphylococcus phage Sb1_8383	6.35E-65	158	265	Genomic Viruses	1654717	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Menderavirus	Menderavirus IMESM1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 351	QEA03083.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage vB_SauM-515A1]	489	Staphylococcus phage vB_SauM-515A1	6.35E-65	158	265	Genomic Viruses	1226257	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Oslovirus	Oslovirus PA2
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 352	QBZ70302.1	putative nicotinate phosphoribosyltransferase [Staphylococcus phage vBSM-A1]	489	Staphylococcus phage vBSM-A1	6.35E-65	158	265	Genomic Viruses	33703	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus suidalpha1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 353	QBX05760.1	putative nicotinate phosphoribosyltransferase [Staphylococcus phage vBSP-A2]	489	Staphylococcus phage vBSP-A2	6.35E-65	158	265	Genomic Viruses	10349	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus suidalpha1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 354	QAY02653.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage Sa30]	489	Staphylococcus phage Sa30	6.35E-65	158	265	Genomic Viruses	2557578	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 355	QAU06203.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage J-Sa36]	489	Staphylococcus phage J-Sa36	6.35E-65	158	265	Genomic Viruses	2724323	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 356	QAU05745.1	nicotinamide phosphoribosyltransferase [Staphylococcus virus Sa83]	489	Staphylococcus virus Sa83	6.35E-65	158	265	Genomic Viruses	10277	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Suipoxvirus	Swinepox virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 357	AVZ44672.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage HYZ21]	489	Staphylococcus phage HYZ21	6.35E-65	158	265	Genomic Viruses	2867299	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage RP2
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 358	AUO26915.1	putative nicotinate phosphoribosyltransferase [Staphylococcus phage B1]	489	Staphylococcus phage B1	6.35E-65	158	265	Genomic Viruses	2813341	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage PM28
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 359	AST15723.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage vB_SauM-fRuSau02]	489	Staphylococcus phage vB_SauM-fRuSau02	6.35E-65	158	265	Genomic Viruses	1226258	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Traversvirus	Traversvirus WGPS9
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 360	ASR77014.1	putative nicotinate phosphoribosyltransferase [Staphylococcus phage JA1]	489	Staphylococcus phage JA1	6.35E-65	158	265	Genomic Viruses	2758660	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus P108
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 361	AQT25622.1	putative nicotinate phosphoribosyltransferase [Staphylococcus phage pSa-3]	489	Staphylococcus phage pSa-3	6.35E-65	158	265	Genomic Viruses	2070179	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage vB_SauM_LM12
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 362	BBC69644.1	putative nicotinate phosphoribosyltransferase [Staphylococcus phage phiSA039]	489	Staphylococcus phage phiSA039	7.83E-65	158	265	Genomic Viruses	1262512	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 363	YP_006989188.1	nicotinamide phosphoribosyl transferase [Caulobacter phage CcrRogue]	485	Caulobacter phage CcrRogue	8.60E-65	152	249	Genomic Viruses	1211642	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Shapirovirus	Shapirovirus	Caulobacter virus Magneto
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 364	AFU86641.1	putative nicotinate phosphoribosyltransferase [Caulobacter phage CcrRogue]	485	Caulobacter phage CcrRogue	8.60E-65	152	249	Genomic Viruses	1211642	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Shapirovirus	Shapirovirus	Caulobacter virus Magneto
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 365	YP_009006853.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage phiSA12]	489	Staphylococcus phage phiSA12	8.80E-65	158	264	Genomic Viruses	2914449	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 366	BAO47229.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage phiSA12]	489	Staphylococcus phage phiSA12	8.80E-65	158	264	Genomic Viruses	2914449	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 368	YP_010114771.1	nicotinamide phosphoribosyl transferase [Mycobacterium phage OhShagHennessy]	491	Mycobacterium phage OhShagHennessy	1.09E-64	159	254	Genomic Viruses	1327778	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Faithunavirus	Mycobacterium phage Winky
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 369	QQV92774.1	nicotinate ribosyltransferase [Mycobacterium phage OhShagHennessy]	491	Mycobacterium phage OhShagHennessy	1.09E-64	159	254	Genomic Viruses	1327778	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Faithunavirus	Mycobacterium phage Winky
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 371	YP_010133124.1	nicotinamide phosphoribosyl transferase [Caulobacter phage CcrSC]	472	Caulobacter phage CcrSC	1.18E-64	148	247	Genomic Viruses	1903266	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus A11
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 372	QXL90279.1	nicotinamide phosphoribosyltransferase [Caulobacter phage CcrSC]	472	Caulobacter phage CcrSC	1.18E-64	148	247	Genomic Viruses	1903266	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus A11
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 373	UNY48792.1	nicotinamide phosphoribosyltransferase [Bacillus phage FADO]	498	Bacillus phage FADO	1.21E-64	162	265	Genomic Viruses	2961841	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Bacillus phage PK-3
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 374	ASR86055.1	nicotinate ribosyltransferase [Mycobacterium phage Appletree2]	491	Mycobacterium phage Appletree2	1.27E-64	159	254	Genomic Viruses	2593346	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage Finnry
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 375	UEM46356.1	nicotinate ribosyltransferase [Mycobacterium phage Enceladus]	491	Mycobacterium phage Enceladus	1.27E-64	159	255	Genomic Viruses	1837841	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Faithunavirus	Mycobacterium phage Loadrie
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 376	AEK07606.1	nicotinate ribosyltransferase [Mycobacterium phage UPIE]	491	Mycobacterium phage UPIE	1.31E-64	159	254	Genomic Viruses	265876	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Leporipoxvirus	Myxoma virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 377	QZD99261.1	nicotinate ribosyltransferase [Mycobacterium phage Moostard]	491	Mycobacterium phage Moostard	1.31E-64	165	259	Genomic Viruses	1034147	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Mycobacterium virus Bron
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 378	YP_008854327.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage S25-3]	489	Staphylococcus phage S25-3	1.34E-64	157	264	Genomic Viruses	2500148	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus P108
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 379	BAO09355.1	hypothetical protein [Staphylococcus phage S25-3]	489	Staphylococcus phage S25-3	1.34E-64	157	264	Genomic Viruses	2500148	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus P108
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 380	YP_010101378.1	nicotinamide phosphoribosyl transferase [Mycobacterium phage Silverleaf]	491	Mycobacterium phage Silverleaf	1.53E-64	159	254	Genomic Viruses	2825197	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Myoviridae sp. ctu2j3
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 381	YP_009635918.1	nicotinamide phosphoribosyl transferase [Mycobacterium phage JoeDirt]	491	Mycobacterium phage JoeDirt	1.53E-64	159	254	Genomic Viruses	2813163	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Faithunavirus	Mycobacterium phage Netyap
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 382	QWT30600.1	nicotinate ribosyltransferase [Mycobacterium phage Rose5]	491	Mycobacterium phage Rose5	1.53E-64	159	254	Genomic Viruses	2656618	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Bronvirus	Mycobacterium phage Zaria
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 383	QOC56737.1	nicotinate ribosyltransferase [Mycobacterium phage Tyson]	491	Mycobacterium phage Tyson	1.53E-64	159	254	Genomic Viruses	31530	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Leporipoxvirus	Myxoma virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 384	QGJ92477.1	nicotinate ribosyltransferase [Mycobacterium phage Wyatt2]	491	Mycobacterium phage Wyatt2	1.53E-64	159	254	Genomic Viruses	1046267	Viruses	Naldaviricetes	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus opbrumatae
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 385	QDK04076.1	nicotinate ribosyltransferase [Mycobacterium phage AvadaKedavra]	491	Mycobacterium phage AvadaKedavra	1.53E-64	159	254	Genomic Viruses	1873696	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Faithunavirus	Mycobacterium phage Gardann
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 386	QBP29853.1	nicotinate ribosyltransferase [Mycobacterium phage Halena]	491	Mycobacterium phage Halena	1.53E-64	159	254	Genomic Viruses	2583046	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage MsGreen
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 387	AYD82251.1	nicotinate ribosyltransferase [Mycobacterium phage Wamburgrxpress]	491	Mycobacterium phage Wamburgrxpress	1.53E-64	159	254	Genomic Viruses	1766765	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Mimivirus	Niemeyer virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 388	YP_008873673.1	nicotinamide phosphoribosyl transferase [Staphylococcus aureus bacteriophage Sb-1]	489	Staphylococcus aureus bacteriophage Sb-1	1.80E-64	158	264	Genomic Viruses	1572703	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus rodi
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 389	AEJ79793.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus aureus bacteriophage Sb-1]	489	Staphylococcus aureus bacteriophage Sb-1	1.80E-64	158	264	Genomic Viruses	1572703	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus rodi
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 390	AZS12227.1	nicotinate ribosyltransferase [Mycobacterium phage Acquire49]	491	Mycobacterium phage Acquire49	2.26E-64	159	254	Genomic Viruses	2015844	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Faithunavirus	Faithunavirus finemlucis
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 391	AEZ50750.1	hypothetical protein [Mycobacterium phage Fezzik]	491	Mycobacterium phage Fezzik	2.26E-64	159	254	Genomic Viruses	1701852	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Lumosvirus lumos
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 392	VEV89506.1	Nicotinamide phosphoribosyltransferase [Staphylococcus phage Stab22]	489	Staphylococcus phage Stab22	2.77E-64	157	264	Genomic Viruses	1651816	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Stenotrophomonas phage vB_SmaS-DLP_6
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 393	QDH92579.1	nicotinate ribosyltransferase [Mycobacterium phage Wigglewiggle]	494	Mycobacterium phage Wigglewiggle	2.78E-64	165	251	Genomic Viruses	2569589	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Phlebovirus ntepesense
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 394	QGJ93092.1	nicotinate ribosyltransferase [Mycobacterium phage Zaria]	491	Mycobacterium phage Zaria	2.82E-64	159	254	Genomic Viruses	2023057	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Ortheovirus	Orpheovirus IHUMI-LCC2
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 395	ARM69043.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage vB_Sau_CG]	489	Staphylococcus phage vB_Sau_CG	3.21E-64	158	264	Genomic Viruses	1855816	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Traversvirus	Traversvirus AU6Stx1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 397	YP_009099441.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage P108]	489	Staphylococcus phage P108	3.64E-64	160	264	Genomic Viruses	2490449	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage Stab21
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 398	YP_007002326.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage G15]	489	Staphylococcus phage G15	3.64E-64	160	264	Genomic Viruses	1961797	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 399	UQJ95875.1	replication protein [Staphylococcus phage KMSP1]	489	Staphylococcus phage KMSP1	3.64E-64	160	264	Genomic Viruses	2849016	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage SAP23
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 400	QZQ74820.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage vB_ScoM-PSC1]	489	Staphylococcus phage vB_ScoM-PSC1	3.64E-64	160	264	Genomic Viruses	10345	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus suidalpha1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 401	QWY14725.1	nicotinate phosphoribosyltransferase [Staphylococcus phage SAP23]	489	Staphylococcus phage SAP23	3.64E-64	160	264	Genomic Viruses	1211280	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Tulanevirus	Tuaanevirus ime13
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 402	QEQ93207.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage vB_SauH_IME522]	489	Staphylococcus phage vB_SauH_IME522	3.64E-64	160	264	Genomic Viruses	1226252	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Traversvirus	Traversvirus min27
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 403	BCJ89113.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage SaGU1]	489	Staphylococcus phage SaGU1	3.64E-64	160	264	Genomic Viruses	2508850	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus virus Sa83
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 404	AUG85627.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage HSA30]	489	Staphylococcus phage HSA30	3.64E-64	160	264	Genomic Viruses	1970746	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G15
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 405	ASZ78124.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage SA3]	489	Staphylococcus phage SA3	3.64E-64	160	264	Genomic Viruses	2866660	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus P108
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 406	ARQ96175.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage qdsa002]	489	Staphylococcus phage qdsa002	3.64E-64	160	264	Genomic Viruses	1981553	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage vB_Sau_S24
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 407	QKV30749.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage ESa1]	489	Staphylococcus phage ESa1	3.96E-64	158	263	Genomic Viruses	2813343	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage PM34
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 408	YP_009782049.1	NadV [Staphylococcus phage A5W]	489	Staphylococcus phage A5W	4.55E-64	157	264	Genomic Viruses	2813340	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage PM25
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 417	ACB89165.1	NadV [Staphylococcus phage A5W]	489	Staphylococcus phage A5W	4.55E-64	157	264	Genomic Viruses	2813340	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage PM25
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 409	YP_009781817.1	NadV [Staphylococcus phage P4W]	489	Staphylococcus phage P4W	4.55E-64	157	264	Genomic Viruses	2490450	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage Stab22
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 410	YP_009781353.1	NadV [Staphylococcus phage Fi200W]	489	Staphylococcus phage Fi200W	4.55E-64	157	264	Genomic Viruses	2813345	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage PM4
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 411	YP_009781120.1	NadV [Staphylococcus phage 676Z]	489	Staphylococcus phage 676Z	4.55E-64	157	264	Genomic Viruses	2028134	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage phiSA039
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 412	YP_009780675.1	NadV [Staphylococcus phage Staph1N]	489	Staphylococcus phage Staph1N	4.55E-64	157	264	Genomic Viruses	2555548	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Menderavirus	Menderavirus IMESM1
